id,X,Y,end
01,-75.19686245486119,39.954566917892954,"39.954566917893,-75.1968624548612"
02,-75.19546465539707,39.954379951085656,"39.9543799510857,-75.1954646553971"
03,-75.19323886007206,39.95410395246535,"39.9541039524654,-75.1932388600721"
04,-75.19291834554527,39.95331156932965,"39.9533115693296,-75.1929183455453"
05,-75.19403124320776,39.95349853613695,"39.9534985361369,-75.1940312432078"
06,-75.19575846037998,39.95369440612555,"39.9536944061255,-75.19575846038"
07,-75.1976192252717,39.953916985658054,"39.9539169856581,-75.1976192252717"
08,-75.1994265710756,39.95410395246535,"39.9541039524654,-75.1994265710756"
09,-75.1996313442455,39.95312460252235,"39.9531246025224,-75.1996313442455"
10,-75.19776167617249,39.952937635715045,"39.952937635715,-75.1977616761725"
11,-75.19412027502077,39.952456863924844,"39.9524568639248,-75.1941202750208"
12,-75.19262454056236,39.952074027128944,"39.9520740271289,-75.1926245405624"
13,-75.19489485179388,39.95104125809814,"39.9510412580981,-75.1948948517939"
14,-75.19138699836165,39.95190486668424,"39.9519048666842,-75.1913869983617"
15,-75.19589200809948,39.951148096273734,"39.9511480962737,-75.1958920080995"
16,-75.19632826398318,39.95179802850864,"39.9517980285086,-75.1963282639832"
17,-75.19796644934239,39.952038414403745,"39.9520384144037,-75.1979664493424"
18,-75.1997916015089,39.95208293031024,"39.9520829303102,-75.1997916015089"
19,-75.19307860280865,39.95493194832626,"39.9549319483263,-75.1930786028087"
20,-75.19536672040277,39.95521685012786,"39.9552168501279,-75.1953667204028"
21,-75.19057699729046,39.95320143367949,"39.9532014336795,-75.1905769972905"
22,-75.191242380549,39.95379584272378,"39.9537958427238,-75.191242380549"
23,-75.19111817567408,39.95468302040183,"39.9546830204018,-75.1911181756741"
24,-75.18876715482725,39.95284656260827,"39.9528465626083,-75.1887671548272"
25,-75.19423216932401,39.95012292713666,"39.9501229271367,-75.194232169324"
26,-75.19707113789376,39.948650212191104,"39.9486502121911,-75.1970711378938"
27,-75.19699129190273,39.950326978002614,"39.9503269780026,-75.1969912919027"
28,-75.20026717712132,39.95053308362867,"39.9505330836287,-75.2002671771213"
29,-75.1976070650142,39.949590335094086,"39.9495903350941,-75.1976070650142"
30,-75.19137794930995,39.949140646536925,"39.9491406465369,-75.19137794931"
31,-75.18919722231901,39.95182028523798,"39.951820285238,-75.189197222319"
32,-75.18973636884444,39.95032355010766,"39.9503235501077,-75.1897363688444"
