Direction,XCOORD,YCOORD,Number,Intersecti,X,Y,id,start
W,-75.204899,39.955301,1,Samson41,-75.20489862814672,39.955301025186664,01,"39.9553010251867,-75.2048986281467"
W,-75.205124,39.954463,2,Walnut41,-75.20512418591058,39.95446323920663,02,"39.9544632392066,-75.2051241859106"
W,-75.205318,39.953239,3,Locust41,-75.20531752113673,39.95323878277427,03,"39.9532387827743,-75.2053175211367"
W,-75.205575,39.952014,4,Spruce41,-75.20557530143829,39.95201432634191,04,"39.9520143263419,-75.2055753014383"
W,-75.205833,39.951048,5,Pine41,-75.20583308173984,39.9510476502111,05,"39.9510476502111,-75.2058330817398"
W,-75.205801,39.949791,6,Baltimore41,-75.20580085920214,39.94979097124105,06,"39.9497909712411,-75.2058008592021"
W,-75.205253,39.948502,7,Woodland41,-75.20525307606135,39.9485020697333,07,"39.9485020697333,-75.2052530760614"
N,-75.201999,39.957105,8,Market40,-75.20199859975429,39.95710548729751,08,"39.9571054872975,-75.2019985997543"
N,-75.199582,39.956912,9,Market39,-75.19958190942727,39.95691215207135,09,"39.9569121520713,-75.1995819094273"
N,-75.197971,39.956719,10,Market38,-75.19797078254258,39.95671881684519,10,"39.9567188168452,-75.1979707825426"
N,-75.193975,39.95693,11,Filbert36,-75.19397529408806,39.956930018678335,11,"39.9569300186783,-75.1939752940881"
N,-75.191163,39.957298,12,Lancaster34,-75.19116289378573,39.95729765410921,12,"39.9572976541092,-75.1911628937857"
E,-75.177864,39.954141,13,Market23,-75.17786391902172,39.95414101382969,13,"39.9541410138297,-75.1778639190217"
E,-75.179604,39.951177,14,Walnut24,-75.17960393605718,39.95117654036188,14,"39.9511765403619,-75.1796039360572"
E,-75.184284,39.946013,15,South27,-75.18428425965719,39.94601287869645,15,"39.9460128786965,-75.1842842596572"
E,-75.197698,39.940945,17,GreysFerry34,-75.1976984808205,39.940944500999244,16,"39.9409445009992,-75.1976984808205"
E,-75.179258,39.952747,18,Chestnut24,-75.17925754377697,39.952747389074446,17,"39.9527473890744,-75.179257543777"
N,-75.189279,39.95642,19,Lancaster33,-75.18927896543873,39.95642012105454,18,"39.9564201210545,-75.1892789654387"
W,-75.204456,39.955937,20,Chestnut41,-75.204455568253465,39.95593742030612,19,"39.9559374203061,-75.2044555682535"
