loc_pair,route,type,intersection,dist,abs_diff
01 01,01 01 driving,driving,01,0.5185643038767366,0
01 01,01 01 walking,walking,01,0.5185643038767366,0
01 02,01 02 driving,driving,01,0.566161650269945,0
01 02,01 02 walking,walking,01,0.566161650269945,0
01 03,01 03 driving,driving,01,0.8694476890828465,0.1407388654626056
01 03,01 03 walking,walking,01,0.7287088236202409,0
01 04,01 04 driving,driving,01,0.8630354926520223,0.12355627254605173
01 04,01 04 walking,walking,01,0.7394792201059706,0
01 05,01 05 driving,driving,01,0.9419604741151679,0.2654450652317124
01 05,01 05 walking,walking,01,0.6765154088834555,0
01 06,01 06 driving,driving,01,0.6163796268546767,0.01220500976861627
01 06,01 06 walking,walking,01,0.6041746170860605,0
01 07,01 07 driving,driving,01,0.5955790423094416,0.10036110406936499
01 07,01 07 walking,walking,01,0.4952179382400766,0
01 08,01 08 driving,driving,01,0.5006306833852844,0.16490934000416868
01 08,01 08 walking,walking,01,0.3357213433811157,0
01 09,01 09 driving,driving,01,0.545249497097519,0.11431179692087445
01 09,01 09 walking,walking,01,0.43093770017664457,0
01 10,01 10 driving,driving,01,0.6449945499082866,0.18502036152993545
01 10,01 10 walking,walking,01,0.4599741883783512,0
01 11,01 11 driving,driving,01,0.9498954668534405,0.2565793587838766
01 11,01 11 walking,walking,01,0.6933161080695639,0
01 12,01 12 driving,driving,01,0.903133041796746,0.11269555021941846
01 12,01 12 walking,walking,01,0.7904374915773276,0
01 13,01 13 driving,driving,01,0.7957807664609355,0.07539962311283444
01 13,01 13 walking,walking,01,0.7203811433481011,0
01 14,01 14 driving,driving,01,0.9048200233334053,0.05701253487162883
01 14,01 14 walking,walking,01,0.8478074884617764,0
01 15,01 15 driving,driving,01,0.7431000400067053,0.04083920176565359
01 15,01 15 walking,walking,01,0.7022608382410517,0
01 16,01 16 driving,driving,01,0.7128232488757047,0.049190055351762796
01 16,01 16 walking,walking,01,0.6636331935239419,0
01 17,01 17 driving,driving,01,0.6314342685409418,0.12097051786048385
01 17,01 17 walking,walking,01,0.5104637506804579,0
